PI,Phenotype
USB-375_PI603488,2
USB-376_PI603492,2
USB-377_PI603494,2
USB-378_PI603495B,1
USB-379_PI603497,1
USB-381_PI603526,2
USB-382_PI603549,1
USB-383_PI603555,1
USB-384_PI603556,1
USB-385_PI603559,1
USB-386_PI603675,1
USB-387_PI603698J,2
USB-388_PI603722,1
USB-389_PI605765B,NA
USB-390_PI606374,NA
USB-392_PI612730,2
USB-393_PI612754,1
USB-395_PI628812,NA
USB-396_PI628913,NA
USB-398_PI628963,NA
USB-399_PI631123,NA
USB-400_PI632418,NA
USB-401_PI632650,NA
USB-402_PI639528B,NA
USB-403_PI639543,NA
USB-404_PI639550E,NA
USB-405_PI639559B,NA
USB-407_PI639570,NA
USB-409_PI322692,1
USB-411_PI567788,1
