PI,Pheno
USB-338_PI587588A,NA
USB-339_PI587588B,NA
USB-341_PI587712B,NA
USB-342_PI587804,2
USB-343_PI587811A,NA
USB-345_PI592937,2
USB-346_PI592940,2
USB-347_PI592952,2
USB-348_PI592960,2
USB-351_PI593953,2
USB-353_PI594170B,NA
USB-354_PI594456A,2
USB-357_PI594880,NA
USB-358_PI594922,NA
USB-361_PI597464,NA
USB-362_PI597471A,NA
USB-363_PI597478B,2
USB-364_PI598358,2
USB-366_PI602502B,NA
USB-367_PI602993,NA
USB-368_PI603162,2
USB-369_PI603290,2
USB-370_PI603345,NA
USB-371_PI603389,2
USB-372_PI603397,2
USB-373_PI603399,2
USB-374_PI603463,NA
USB-375_PI603488,2
USB-376_PI603492,2
USB-377_PI603494,NA
USB-378_PI603495B,NA
USB-379_PI603497,NA
USB-381_PI603526,2
USB-382_PI603549,2
USB-383_PI603555,2
USB-384_PI603556,2
USB-385_PI603559,NA
USB-386_PI603675,NA
USB-387_PI603698J,NA
USB-388_PI603722,NA
USB-389_PI605765B,NA
USB-390_PI606374,NA
USB-392_PI612730,2
USB-393_PI612754,NA
USB-395_PI628812,NA
USB-396_PI628913,NA
USB-398_PI628963,NA
USB-399_PI631123,NA
USB-400_PI632418,NA
USB-401_PI632650,NA
USB-402_PI639528B,NA
USB-403_PI639543,NA
USB-404_PI639550E,NA
USB-405_PI639559B,NA
USB-407_PI639570,NA
USB-409_PI322692,NA
USB-411_PI567788,2
